## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
|  10 | Oguri Cap       | Cyciesta    |   7 | A    | Steamy Solidarity | Pace  | 3/4 L      |   4 |
|  11 | Oguri Cap       | GohanXGAMER |  14 | A    | Finals Champion   | Pace  | Neck       |  10 |
|  12 | Haru Urara      | GohanXGAMER |   6 | C+   | G1 Winner         | Late  | 1 L        |   9 |
|  13 | Chalemie Rhythm | NPC         |   3 | C+   | —                 | Pace  | Neck       |  12 |
|  14 | Haru Urara      | Nadav       |  16 | C+   | G1 Winner         | Late  | 5 L        |  15 |
|  15 | Aqua Spring     | NPC         |  10 | C+   | —                 | Front | 3/4 L      |  14 |
|  16 | Vodka           | Nadav       |  13 | B    | Double Tiara      | Pace  | Distance   |  16 |

## Sus Cup 4 — Hopeful Stakes

**Subtitle:** 1 Runner + 1 Debuffer
**Date:** 2025-08-25
**Race time:** 18:38
**Room ID:** 9651 9168
**Track:** Nakayama Turf
**Distance:** 2000m — Medium
**Direction:** Right / Inner
**Weather:** Random
**Ground:** Random
**Condition:** Firm
**Mood:** Great
**Rank limit:** A Rank Max
**Entry rule:** 1 Runner + 1 Debuffer

| Pos | Uma              | Trainer     | No. | Rank | Title           | Style | Time/Gap   | Fav |
| --: | ---------------- | ----------- | --: | ---- | --------------- | ----- | ---------- | --: |
|   1 | Nice Nature      | Yves        |   8 | A    | Finals Champion | Pace  | **1:56.6** |   4 |
|   2 | Gold Ship        | Cyciesta    |  14 | A    | The GOAT        | End   | 2 1/2 L    |   1 |
|   3 | El Condor Pasa   | Cruzi       |   4 | A    | The GOAT        | Pace  | 1 3/4 L    |   7 |
|   4 | Silence Suzuka   | Agnes       |   6 | A    | Legendary Diva  | Front | Head       |   5 |
|   5 | Agnes Tachyon    | Yves        |   5 | A    | The GOAT        | Late  | 5 L        |   6 |
|   6 | Nice Nature      | Agnes       |   9 | B+   | Finals Champion | Late  | 2 L        |   2 |
|   7 | Bridge Comp      | NPC         |   7 | C+   | —               | End   | 1 1/2 L    |  15 |
|   8 | Muruga           | NPC         |  11 | C+   | —               | Pace  | 1 L        |  10 |
|   9 | Mechanical Vapor | NPC         |  10 | C+   | —               | Late  | Neck       |  13 |
|  10 | Insight Catch    | NPC         |   3 | C+   | —               | Front | 3/4 L      |  12 |
|  11 | Ribbon Carol     | NPC         |   1 | B    | —               | Pace  | 1/2 L      |  11 |
|  12 | Symboli Rudolf   | Cyciesta    |  12 | A    | Way of Kings    | Late  | 1/2 L      |   3 |
|  13 | Super Creek      | GohanXGAMER |   2 | B    | Speedy Stayer   | Pace  | 1 1/4 L    |  18 |
|  14 | Mayano Top Gun   | GohanXGAMER |  13 | B+   | Finals Champion | Front | Head       |   8 |
|  15 | King Halo        | Cruzi       |  15 | B+   | Finals Champion | Late  | Nose       |   9 |
|  16 | Navigate Light   | NPC         |  17 | C+   | —               | Front | 3/4 L      |  17 |
|  17 | Mini Lotus       | NPC         |  18 | C+   | —               | Front | 4 L        |  16 |
|  18 | Summer Bonfire   | NPC         |  16 | C+   | —               | End   | 3/4 L      |  14 |



## Sus Cup 5 — Tenno Sho (Spring)

**Subtitle:** Gemini Cup Open League Training
**Date:** 2025-08-27
**Race time:** 18:44
**Room ID:** 6084 0589
**Track:** Kyoto Turf
**Distance:** 3200m — Long
**Direction:** Right / Outer
**Weather:** Random
**Ground:** Random
**Condition:** Random
**Mood:** Great
**Rank limit:** B Rank Max
**Entry rule:** 2 entries per person

| Pos | Uma                               | Trainer     | No. | Rank | Title               | Style | Time/Gap   | Fav |
| --: | --------------------------------- | ----------- | --: | ---- | ------------------- | ----- | ---------- | --: |
|   1 | Super Creek                       | Agnes       |   5 | B    | G1 Hunter           | Pace  | **3:15.6** |   4 |
|   2 | Tokai Teio                        | Jiinxye     |   1 | B    | Double Crown        | Pace  | Distance   |   1 |
|   3 | Mejiro McQueen [End of the Skies] | Nadav       |  18 | C+   | Tenno Sweep         | Pace  | 7 L        |  17 |
|   4 | Marsyas                           | NPC         |  13 | C+   | —                   | Late  | 5 L        |  11 |
|   5 | Black Tipped                      | NPC         |  10 | C+   | —                   | End   | 3/4 L      |   8 |
|   6 | Symboli Rudolf                    | Cyciesta    |  11 | B    | G1 Hunter           | Pace  | 3 L        |  15 |
|   7 | Biwa Hayahide                     | GohanXGAMER |   4 | B    | Finals Champion     | Pace  | 1 L        |   3 |
|   8 | Breeze Chopper                    | NPC         |   3 | C+   | —                   | Front | Neck       |  12 |
|   9 | Speechless Hack                   | NPC         |  17 | C+   | —                   | Pace  | 3 L        |   7 |
|  10 | T.M. Opera O                      | Jiinxye     |   2 | B    | Finals Champion     | Pace  | 1/2 L      |   2 |
|  11 | Yggdra Valley                     | NPC         |  12 | C+   | —                   | Late  | 1 L        |  10 |
|  12 | Agnes Tachyon                     | Cruzi       |   8 | B    | G1 Winner           | Pace  | 3 L        |  13 |
|  13 | Flute Rhythm                      | NPC         |  14 | C+   | —                   | Front | 2 1/2 L    |   6 |
|  14 | Tokai Teio                        | Cyciesta    |   7 | B    | Turf Terror         | Pace  | Neck       |   5 |
|  15 | Grass Wonder                      | Agnes       |  15 | B    | G1 Winner           | Pace  | 1 L        |  14 |
|  16 | Gold Ship                         | Cruzi       |   9 | B    | December Domination | End   | 8 L        |   9 |
|  17 | Nice Nature                       | GohanXGAMER |  16 | B    | Silver Collector    | Late  | Head       |  16 |
|  18 | Mihono Bourbon                    | Nadav       |   6 | C+   | G1 Winner           | Front | 3/4 L      |  18 |



## Sus Cup 6 — UNIQUE EPITHETS / STEAMY SOLIDARITY

**Date:** 2025-09-03
**Race time:** 18:18
**Room ID:** 9075 4387
**Track:** Nakayama Turf
**Distance:** 2500m — Long
**Direction:** Right / Inner
**Weather:** Random
**Ground:** Great
**Condition:** Great
**Mood:** Great
**Season:** Random
**Rank restriction:** No rank restriction specified

| Pos | Uma             | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
| --: | --------------- | ----------- | --: | ---- | ----------------- | ----- | ---------- | --: |
|   1 | Gold Ship       | Cyclobly    |  14 | A    | The GOAT          | End   | **2:29.0** |   5 |
|   2 | Mejiro McQueen  | Jiinxye     |   7 | B+   | Steamy Solidarity | Pace  | 1 1/4 L    |   2 |
|   3 | Symboli Rudolf  | Agnes       |  12 | A    | Emperor           | Pace  | 1 1/4 L    |   3 |
|   4 | Gold Ship       | Yves        |  10 | A    | The GOAT          | End   | 2 L        |   7 |
|   5 | Mayano Top Gun  | Agnes       |   1 | A    | Free Spirit       | End   | 3/4 L      |   6 |
|   6 | Keyboard Rhythm | NPC         |   8 | B    | Keyboard Rhythm   | End   | 5 L        |  11 |
|   7 | Tokai Teio      | Jiinxye     |   5 | A    | Steamy Solidarity | Pace  | 3/4 L      |   4 |
|   8 | Ogress          | NPC         |   3 | B    | Ogress            | End   | 2 1/2 L    |   9 |
|   9 | Oguri Cap       | Cyclobly    |  13 | A    | Legendary Diva    | Pace  | 3 L        |   1 |
|  10 | Agnes Tachyon   | Cruzi       |  15 | B+   | Steamy Solidarity | Pace  | Head       |  13 |
|  11 | Ribbon Nocturne | NPC         |   9 | B    | Ribbon Nocturne   | Pace  | Head       |  12 |
|  12 | Maleficus       | NPC         |   4 | B    | Maleficus         | Late  | 1 3/4 L    |  15 |
|  13 | Nice Nature     | Yves        |  16 | A    | Finals Champion   | Late  | 5 L        |   8 |
